Bug ID,Reported In,URL,Database,Version / Commit,R Uncommitted,R Committed,Repeatable R,Serializable,Pessimistic,Optimistic,Interesting,Bug summary,Transaction Bug,Bug type,Deterministic,# Connections,Root cause,Issue closed
TIDB-34041,OSDI2023,https://github.com/pingcap/tidb/issues/34041,TiDB,6.1.0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Running operations in transaction yields an error,TRUE,Unexpected error,TRUE,1,,FALSE
TIDB-34043,OSDI2023,https://github.com/pingcap/tidb/issues/34043,TiDB,6.1.0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Nested operations make server crash,FALSE,Crash,TRUE,1,,TRUE
TIDB-34110,OSDI2023,https://github.com/pingcap/tidb/issues/34110,TiDB,6.1.0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Rollback does not revert autoincemented keys,TRUE,Incorrect database state,TRUE,2,,FALSE
TIDB-34217,OSDI2023,https://github.com/pingcap/tidb/issues/34217,TiDB,6.1.0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Nested operations make index out of range,FALSE,Crash,TRUE,1,,FALSE
TIDB-34222,OSDI2023,https://github.com/pingcap/tidb/issues/34222,TiDB,6.1.0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Operation fails when running in transaction,TRUE,Unexpected error,TRUE,1,,FALSE
TIDB-34978,ICSE2024,https://github.com/pingcap/tidb/issues/34978,TiDB,6.4.0.tikv,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,A SELECT throws an error after a DML operation in another transaction.,TRUE,Unexpected error,TRUE,2,,TRUE
TIDB-35682,ICSE2024,https://github.com/pingcap/tidb/issues/35682,TiDB,6.4.0.tikv,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Instruction that failed due to timeout still holds locks.,TRUE,Unnecessary locking,TRUE,2,,FALSE
TIDB-36581,ICSE2024,https://github.com/pingcap/tidb/issues/36581,TiDB,6.1.0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Issuing autocommit=on instructions makes rollback fail,TRUE,Incorrect database state,TRUE,1,,TRUE
TIDB-36896,OSDI2023,https://github.com/pingcap/tidb/issues/36896,TiDB,6.1.0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Operation makes the server crash,FALSE,Crash,TRUE,1,,TRUE
TIDB-36903,OSDI2023,https://github.com/pingcap/tidb/issues/36903,TiDB,6.1.0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Running operations in transaction gives a different result,TRUE,Incorrect query result,TRUE,1,,TRUE
TIDB-36928,OSDI2023,https://github.com/pingcap/tidb/issues/36928,TiDB,6.1.0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Operation fails when running in transaction,TRUE,Unexpected error,TRUE,1,,FALSE
TIDB-37653,ICSE2024,https://github.com/pingcap/tidb/issues/37653,TiDB,6.2.0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Select locks rows even when they don't match their predicate.,TRUE,Unnecessary locking,TRUE,2,,FALSE
TIDB-37925,ICSE2024,https://github.com/pingcap/tidb/issues/37925,TiDB,6.3.0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Duplicates in primary key do not throw an error,TRUE,Incorrect database state,TRUE,1,,FALSE
TIDB-38150,OSDI2023,https://github.com/pingcap/tidb/issues/38150,TiDB,6.3.0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,SELECT and UPDATE affect different rows despite having same predicate,FALSE,Incorrect query result,TRUE,1,,FALSE
TIDB-38167,OSDI2023,https://github.com/pingcap/tidb/issues/38167,TiDB,6.3.0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Nested update causes buffer overflow,FALSE,Crash,TRUE,1,,TRUE
TIDB-38170,OSDI2023,https://github.com/pingcap/tidb/issues/38170,TiDB,6.3.0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Query returns undeterministic number of elements,FALSE,Incorrect query result,FALSE,1,,TRUE
TIDB-38209,OSDI2023,https://github.com/pingcap/tidb/issues/38209,TiDB,6.3.0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Operation fails when running in transaction,TRUE,Unexpected error,TRUE,1,,FALSE
TIDB-39851,ICSE2024,https://github.com/pingcap/tidb/issues/39851,TiDB,6.4.0.tikv,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Select does not throw errors when running concurently.,TRUE,Missing warning,TRUE,2,,FALSE
TIDB-39972,ICSE2024,https://github.com/pingcap/tidb/issues/39972,TiDB,6.4.0.tikv,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,UPDATE statement with CAST() reports an error in the transaction,TRUE,Unexpected error,TRUE,1,,FALSE
TIDB-39976,ICSE2024,https://github.com/pingcap/tidb/issues/39976,TiDB,6.4.0.tikv,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Delete from throws error in transaction, but only warning outside of a transaction",TRUE,Unexpected error,TRUE,1,,FALSE
TIDB-39977,ICSE2024,https://github.com/pingcap/tidb/issues/39977,TiDB,6.4.0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Select has warnings when running in a transaction.,TRUE,Unexpected warning,TRUE,1,,FALSE
TIDB-8393,ICSE2024,https://github.com/pingcap/tidb/issues/8393,TiDB,6.4.0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Variables set in transactions are not reset on rollback,TRUE,Incorrect database state,TRUE,1,,FALSE
